Word,Meaning,Sentence,Pinyin,Translation
拿 (ná),take; hold,请 你 帮 我 拿 一 下 儿 这 个 包 。,Qǐng nǐ bāng wǒ ná yí xiàr zhè ge bāo.,Please help me hold this bag for a moment.
那 (nà),that,那 件 衣 服 很 漂 亮 。,Nà jiàn yīfu hěn piàoliang.,That piece of clothing is very beautiful.
哪 (nǎ),which; where,你 想 坐 哪 辆 车 ？,Nǐ xiǎng zuò nǎ liàng chē?,Which car do you want to take?
哪里 (nǎ lǐ),where,我 不 知 道 他 在 哪 里 。,Wǒ bù zhīdào tā zài nǎ lǐ.,I don't know where he is.
那（里） (nà (lǐ)),there,你 去 那 里 找 他 吧。,Nǐ qù nà lǐ zhǎo tā ba.,You go find him there.
那儿 (nàr),there,电 影 院 就 在 那儿 。,Diàn yǐng yuàn jiù zài nàr.,The cinema is right there.
那些 (nà xiē),those,那 些 都 是 我 们 的 书 。,Nà xiē dōu shì wǒmen de shū.,Those are all our books.
哪儿 (nǎr),where,请 问 车 站 在 哪儿 ？,Qǐng wèn chē zhàn zài nǎr?,"Excuse me, where is the station?"
南 (nán),south,他 们 住 在 南 边 的 房 子 里 。,Tāmen zhù zài nán biān de fáng zi lǐ.,They live in the house on the south side.
南边 (nán biān),south side,我 们 一 起 去 南 边 玩儿 吧 。,Wǒmen yìqǐ qù nán biān wánr ba.,Let's go play on the south side together.
难 (nán),difficult,这 个 汉 字 很 难 写 。,Zhè ge Hàn zì hěn nán xiě.,This Chinese character is very difficult to write.
呢 (ne),(interrogative particle),你 好 吗 ？ 我 很 好 ， 你 呢 ？,"Nǐ hǎo ma? Wǒ hěn hǎo, nǐ ne?","How are you? I'm fine, and you?"
能 (néng),can,你 不 能 回 家 。,Nǐ bù néng huí jiā.,You cannot go home.
你 (nǐ),you,你 认 识 我 吗 ？,Nǐ rènshi wǒ ma?,Do you know me?
年 (nián),year,二 零 二 四 年 是 一 年。,Èr líng èr sì nián shì yī nián.,The year 2024 is one year.
您 (nín),you (polite),您 是 老 师 吗？,Nín shì lǎo shī ma?,Are you a teacher?
牛奶 (niú nǎi),milk,我 的 孩 子 爱 喝 牛 奶 。,Wǒ de háizi ài hē niú nǎi.,My child loves to drink milk.
女 (nǚ),female,她 是 个 女 学 生。,Tā shì ge nǚ xué shēng.,She is a female student.
女儿 (nǚ ér),daughter,他 有 一 个 女 儿。,Tā yǒu yī ge nǚ ér.,He has one daughter.
女孩子 (nǚ háizi),girl,那 些 女 孩 子 都 很 漂 亮 。,Nà xiē nǚ háizi dōu hěn piàoliang.,Those girls are all very beautiful.
女同学 (nǚ tóng xué),female student,这 是 我 们 班 的 女 同 学 。,Zhè shì wǒmen bān de nǚ tóng xué.,This is the female student from our class.
旁边 (páng biān),side,老 师 的 旁 边 是 学 生 。,Lǎo shī de páng biān shì xué sheng.,Next to the teacher is the student.
跑 (pǎo),run,他 跑 得 很 快 。,Tā pǎo de hěn kuài.,He runs very fast.
朋友 (péng you),friend,我 爱 我 的 朋 友 们 。,Wǒ ài wǒ de péng you men.,I love my friends.
票 (piào),ticket,这 张 票 很 有 用 。,Zhè zhāng piào hěn yǒu yòng.,This ticket is very useful.
漂亮 (piào liang),beautiful,这 个 女 孩 子 很 漂 亮 。,Zhè ge nǚ háizi hěn piào liang.,This girl is very beautiful.
苹 果 (píng guǒ),apple,我 想 吃 一 个 苹 果 。,Wǒ xiǎng chī yī ge píng guǒ.,I want to eat an apple.
七 (qī),seven,现 在 是 七 点 了。,Xiànzài shì qī diǎn le.,It is seven o'clock now.
妻 子 (qī zi),wife,他 爱 他 的 妻 子 。,Tā ài tā de qī zi.,He loves his wife.
其 他 (qí tā),other,其 他 人 都 不 在 家 里 。,Qí tā rén dōu bú zài jiā lǐ.,The other people are not at home.
骑 (qí),ride,你 会 骑 车 吗？,Nǐ huì qí chē ma?,Can you ride a bike/car?
起 (qǐ),rise; get up,你 几 点 起 床 ？,Nǐ jǐ diǎn qǐ chuáng?,What time do you get up?
起 床 (qǐ chuáng),get up,我 妈 妈 很 早 起 床 。,Wǒ māma hěn zǎo qǐ chuáng.,My mom gets up very early.
汽 车 (qì chē),automobile,他 的 汽 车 是 白 色 的 。,Tā de qì chē shì bái sè de.,His automobile is white.
千 (qiān),thousand,这 件 衣 服 一 千 块 钱。,Zhè jiàn yīfu yī qiān kuài qián.,This piece of clothing is one thousand dollars.
前 (qián),front; before; ago,我 们 三 天 前 见 面 了。,Wǒmen sān tiān qián jiànmiàn le.,We met three days ago.
前边 (qián biān),front; front side,车 站 在 学 校 前 边 。,Chē zhàn zài xuéxiào qián biān.,The station is in front of the school.
前天 (qián tiān),day before yesterday,前 天 我 去 了 图 书 馆 。,Qián tiān wǒ qù le túshū guǎn.,I went to the library the day before yesterday.
钱 (qián),money,我 没 有 很 多 钱 。,Wǒ méi yǒu hěn duō qián.,I don't have much money.
请 (qǐng),please; invite,请 你 帮 我 一 下 儿 。,Qǐng nǐ bāng wǒ yí xiàr.,Please help me for a moment.
请问 (qǐng wèn),May I ask,请 问 您 是 谁 ？,Qǐng wèn nín shì shéi?,May I ask who you are?
球 (qiú),ball,他 喜 欢 打 球 。,Tā xǐhuan dǎ qiú.,He likes to play ball.
去 (qù),go,我 们 去 学 校 学 习 吧 。,Wǒmen qù xuéxiào xuéxí ba.,Let's go to school to study.
去年 (qù nián),last year,去 年 我 不 在 北 京 。,Qù nián wǒ bú zài Běijīng.,I was not in Beijing last year.
让 (ràng),let; ask; yield,请 你 让 我 回 家 吧 。,Qǐng nǐ ràng wǒ huí jiā ba.,Please let me go home.
热 (rè),hot,今 天 非 常 热 。,Jīntiān fēicháng rè.,It is extremely hot today.
人 (rén),person,学 校 里 有 很 多 人 。,Xuéxiào lǐ yǒu hěn duō rén.,There are many people in the school.
认识 (rènshi),know; recognize,你 认 识 这 个 老 师 吗 ？,Nǐ rènshi zhè ge lǎo shī ma?,Do you know this teacher?
日 (rì),day; sun,今 天 是 一 个 好 日 子 。,Jīntiān shì yī ge hǎo rì zi.,Today is a good day.
日用品 (rì yòng pǐn),daily necessities,我 们 要 去 买 日 用 品 。,Wǒmen yào qù mǎi rì yòng pǐn.,We need to go buy daily necessities.
肉 (ròu),meat,这 个 菜 没 有 肉 。,Zhè ge cài méi yǒu ròu.,This dish doesn't have meat.
三 (sān),three,我 有 三 个 苹 果 。,Wǒ yǒu sān ge píng guǒ.,I have three apples.
商店 (shāng diàn),store; shop,商 店 在 哪 个 地 方 ？,Shāng diàn zài nǎ ge dìfang?,In which place is the store?
上 (shàng),up; go up; last (time),我 们 上 楼 去 吧 。,Wǒmen shàng lóu qù ba.,Let's go upstairs.
上班 (shàng bān),go to work,我 们 七 点 上 班 。,Wǒmen qī diǎn shàng bān.,We go to work at seven o'clock.
上午 (shàng wǔ),morning,今 天 上 午 你 去 哪 里 ？,Jīntiān shàng wǔ nǐ qù nǎ lǐ?,Where are you going this morning?
上学 (shàng xué),go to school,我 的 弟 弟 每 天 上 学 。,Wǒ de dìdi měi tiān shàng xué.,My younger brother goes to school every day.
少 (shǎo),few; less,这 里 的 人 很 少 。,Zhè lǐ de rén hěn shǎo.,There are very few people here.
谁 (shéi),who,请 问 您 是 谁 ？,Qǐng wèn nín shì shéi?,May I ask who you are?
身体 (shēn tǐ),body; health,爸 爸 的 身 体 很 好 。,Bàba de shēn tǐ hěn hǎo.,Dad's health is very good.
什么 (shén me),what,你 想 买 什 么 东 西 ？,Nǐ xiǎng mǎi shén me dōngxi?,What thing do you want to buy?
生病 (shēng bìng),fall ill,她 不 能 去 学 校 因 为 生 病 了 。,Tā bù néng qù xuéxiào yīnwèi shēng bìng le.,She cannot go to school because she fell ill.
生日 (shēng rì),birthday,祝 你 生 日 快 乐 ！,Zhù nǐ shēng rì kuài lè!,Wish you a happy birthday!
十 (shí),ten,现 在 是 十 点 了 。,Xiànzài shì shí diǎn le.,It is ten o'clock now.
时候 (shí hòu),time; moment,你 什 么 时 候 回 家 ？,Nǐ shénme shí hòu huí jiā?,When are you returning home?
时间 (shí jiān),time,你 有 时 间 和 我 去 玩儿 吗 ？,Nǐ yǒu shí jiān hé wǒ qù wánr ma?,Do you have time to go play with me?
事 (shì),matter; thing,我 们 有 很 多 话 要 说 这 件 事 。,Wǒmen yǒu hěn duō huà yào shuō zhè jiàn shì.,We have many words to say about this matter.
试 (shì),test; try,你 可 以 试 试 这 件 衣 服 。,Nǐ kěyǐ shì shi zhè jiàn yīfu.,You can try this piece of clothing.
是 (shì),be,这 是 一 个 好 房 子 。,Zhè shì yī ge hǎo fáng zi.,This is a good house.
手 (shǒu),hand,他 的 手 很 大 。,Tā de shǒu hěn dà.,His hand is very big.
手表 (shǒu biǎo),watch,你 的 手 表 很 漂 亮 。,Nǐ de shǒu biǎo hěn piàoliang.,Your watch is very beautiful.
手机 (shǒu jī),mobile phone,我 的 手 机 在 包 里 。,Wǒ de shǒu jī zài bāo lǐ.,My mobile phone is in the bag.
书 (shū),book,我 喜 欢 看 这 本 书 。,Wǒ xǐhuan kàn zhè běn shū.,I like reading this book.
书店 (shū diàn),bookstore,学 校 里 没 有 书 店 。,Xuéxiào lǐ méi yǒu shū diàn.,There is no bookstore inside the school.
水果 (shuǐ guǒ),fruit,我 喜 欢 吃 水 果 。,Wǒ xǐhuan chī shuǐ guǒ.,I like eating fruit.
水 (shuǐ),water,这 杯 子 里 有 水 吗 ？,Zhè bēi zi lǐ yǒu shuǐ ma?,Is there water inside this cup?
睡觉 (shuì jiào),sleep,我 们 该 睡 觉 了 。,Wǒmen gāi shuì jiào le.,It's time for us to sleep.
说 (shuō),speak,你 会 说 汉 语 吗 ？,Nǐ huì shuō Hànyǔ ma?,Can you speak Chinese?
说话 (shuō huà),speak,请 你 不 要 说 话 。,Qǐng nǐ bú yào shuō huà.,Please do not speak.
四 (sì),four,我 有 四 个 姐 姐 。,Wǒ yǒu sì ge jiějie.,I have four older sisters.
送 (sòng),give; send,我 想 送 花 给 妈 妈 。,Wǒ xiǎng sòng huā gěi māma.,I want to give flowers to Mom.
岁 (suì),year of age,你 儿 子 多 大 岁 数 了 ？,Nǐ érzi duō dà suì shu le?,How old is your son?
他 (tā),he,他 是 一 个 大 学 生 。,Tā shì yī ge dà xué shēng.,He is a university student.
她 (tā),she,她 是 我 的 老 师 。,Tā shì wǒ de lǎo shī.,She is my teacher.
他们 (tā men),"they, them (male or mixed)",他们 都 是 大 学 生。,Tā men dōu shì dà xué shēng.,They are all university students.
她们 (tā men),"they, them (female)",我 爱 我 的 女 朋 友 们 ， 她们 很 好。,"Wǒ ài wǒ de nǚ péngyou men, tā men hěn hǎo.","I love my girlfriends, they are very good."
太 (tài),too,这 件 衣 服 太 大 了。,Zhè jiàn yīfu tài dà le.,This piece of clothing is too big.
天气 (tiān qì),weather,今 天 的 天气 很 好 。,Jīntiān de tiān qì hěn hǎo.,Today's weather is very good.
听 (tīng),listen,请 你 听 老 师 说 话 。,Qǐng nǐ tīng lǎo shī shuō huà.,Please listen to the teacher speak.
听说 (tīng shuō),hear of,我 听 说 他 去 北 京 了 。,Wǒ tīng shuō tā qù Běijīng le.,I heard that he went to Beijing.
同学 (tóng xué),student; classmate,我 们 是 同 学 。,Wǒmen shì tóng xué.,We are classmates.
图书馆 (tú shū guǎn),library,图 书 馆 在 教 学 楼 旁 边 。,Tú shū guǎn zài jiào xué lóu páng biān.,The library is next to the teaching building.
头 (tóu),head,他 的 头 很 大 。,Tā de tóu hěn dà.,His head is very big.
外边 (wài biān),outside,请 你 看 外 边 有 什 么 。,Qǐng nǐ kàn wài biān yǒu shénme.,Please look at what is outside.
完 (wán),finish,我 们 吃 饭 吃 完 了 。,Wǒmen chī fàn wán le.,We finished eating the meal.
玩儿 (wánr),play,我 的 爱 好 是 玩儿 球 。,Wǒ de àihào shì wánr qiú.,My hobby is playing ball.
晚 (wǎn),late,你 今 天 回 家 很 晚 。,Nǐ jīntiān huí jiā hěn wǎn.,You returned home very late today.
晚饭 (wǎn fàn),dinner,我 们 一 起 吃 晚 饭 吧 。,Wǒmen yìqǐ chī wǎn fàn ba.,Let's have dinner together.
晚上 (wǎn shàng),evening; night,你 晚 上 想 做 什 么 ？,Nǐ wǎn shàng xiǎng zuò shénme?,What do you want to do tonight?
往 (wǎng),toward,请 往 前 边 走 。,Qǐng wǎng qián biān zǒu.,Please walk toward the front.
忘 (wàng),forget,对 不 起 ， 我 把 你 的 名 字 忘 了 。,"Duìbuqǐ, wǒ bǎ nǐ de míngzi wàng le.","Sorry, I forgot your name."
问 (wèn),ask,请 你 问 老 师 这 个 问 题 。,Qǐng nǐ wèn lǎo shī zhè ge wèn tí.,Please ask the teacher this question.
问题 (wèn tí),question,你 有 什 么 问 题 吗 ？,Nǐ yǒu shénme wèn tí ma?,Do you have any questions?
我 (wǒ),I,我 的 老 师 爱 我 们 。,Wǒ de lǎo shī ài wǒ men.,My teacher loves us.
我们 (wǒ men),"we, us",我们 都 是 中 国 人 吗 ？,Wǒ men dōu shì Zhōng guó rén ma?,Are we all Chinese people?
五 (wǔ),five,这 件 衣 服 五 十 块 钱 。,Zhè jiàn yīfu wǔ shí kuài qián.,This piece of clothing is fifty dollars.
午饭 (wǔ fàn),lunch,我 们 一 起 吃 午 饭 吧 。,Wǒmen yìqǐ chī wǔ fàn ba.,Let's eat lunch together.
西 (xī),west,我 们 的 学 校 在 西 边 。,Wǒmen de xuéxiào zài xī biān.,Our school is on the west side.
西边 (xī biān),west side,请 你 往 西 边 走 。,Qǐng nǐ wǎng xī biān zǒu.,Please walk toward the west side.
希望 (xī wàng),hope,我 希 望 你 们 都 很 高 兴 。,Wǒ xī wàng nǐmen dōu hěn gāoxìng.,I hope you are all very happy.
习惯 (xí guàn),custom; be used to,我 习 惯 了 北 京 的 生 活 。,Wǒ xí guàn le Běijīng de shēnghuó.,I got used to life in Beijing.
洗 (xǐ),wash,请 你 帮 我 洗 衣 服 。,Qǐng nǐ bāng wǒ xǐ yīfu.,Please help me wash the clothes.
喜欢 (xǐ huan),like,我 不 喜 欢 看 电 视 。,Wǒ bù xǐ huan kàn diànshì.,I do not like watching TV.
下 (xià),under; down; next,我 们 下 星 期 见 。,Wǒmen xià xīngqī jiàn.,We will meet next week.
下班 (xià bān),get off work,我 们 五 点 下 班 。,Wǒmen wǔ diǎn xià bān.,We get off work at five o'clock.
下边 (xià biān),under,你 看 桌 子 下 边 有 什 么 。,Nǐ kàn zhuō zi xià biān yǒu shénme.,Look at what is under the table.
下车 (xià chē),get off a car,请 你 在 这 儿 下 车 。,Qǐng nǐ zài zhèr xià chē.,Please get off the car here.
下课 (xià kè),class is over,我 们 马 上 下 课 了 。,Wǒmen mǎ shàng xià kè le.,Our class will be over immediately.
下午 (xià wǔ),afternoon,我 们 下 午 去 打 球 。,Wǒmen xià wǔ qù dǎ qiú.,We are going to play ball this afternoon.
下雨 (xià yǔ),rain,今 天 没 有 下 雨 。,Jīntiān méi yǒu xià yǔ.,It is not raining today.
先 (xiān),first,请 你 先 走 吧 。,Qǐng nǐ xiān zǒu ba.,Please go first.
先生 (xiān sheng),Mr.,这 位 先 生 是 我 的 朋 友 。,Zhè wèi xiān sheng shì wǒ de péngyou.,This gentleman is my friend.
现在 (xiàn zài),now,你 现 在 在 哪 里 ？,Nǐ xiàn zài zài nǎ lǐ?,Where are you now?
想 (xiǎng),want; think,我 很 想 回 家 。,Wǒ hěn xiǎng huí jiā.,I really want to go home.
向 (xiàng),toward,请 向 老 师 问 好 。,Qǐng xiàng lǎo shī wèn hǎo.,Please say hello toward the teacher.
小 (xiǎo),small; little,这 件 衣 服 太 小 了 。,Zhè jiàn yīfu tài xiǎo le.,This piece of clothing is too small.
小 姐 (xiǎo jiě),Miss,请 问 这 位 小 姐 是 谁 ？,Qǐng wèn zhè wèi xiǎo jiě shì shéi?,May I ask who this young lady is?
小学 (xiǎo xué),elementary school,我 们 去 小 学 看 看 吧 。,Wǒmen qù xiǎo xué kàn kan ba.,Let's go take a look at the elementary school.
小学生 (xiǎo xué shēng),elementary school student,他 是 个 小 学 生 。,Tā shì ge xiǎo xué shēng.,He is an elementary school student.
小时 (xiǎo shí),hour,从 这 儿 到 那 儿 要 一 个 小 时 。,Cóng zhèr dào nàr yào yī ge xiǎo shí.,It takes one hour from here to there.
笑 (xiào),smile; laugh,孩 子 笑 了 。,Háizi xiào le.,The child laughed.
些 (xiē),some; several,我 们 有 一 些 问 题 。,Wǒmen yǒu yī xiē wèn tí.,We have some questions.
写 (xiě),write,请 你 写 汉 字 。,Qǐng nǐ xiě Hàn zì.,Please write Chinese characters.
谢谢 (xiè xie),thank,"我 说 "" 谢谢 "" 。","Wǒ shuō ""xiè xie"" .","I said ""thank you."""
新 (xīn),new,我 们 买 了 一 个 新 房 子 。,Wǒmen mǎi le yī ge xīn fáng zi.,We bought a new house.
星期 (xīng qī),week,一 个 星 期 有 七 天 。,Yī ge xīng qī yǒu qī tiān.,One week has seven days.
行 (xíng),OK; walk,我 们 可 以 走 路 去 ， 行 吗 ？,"Wǒmen kěyǐ zǒu lù qù, xíng ma?","We can walk there, is that okay?"
休 息 (xiū xi),rest,老 师 让 我 们 休 息 一 下 儿 。,Lǎo shī ràng wǒmen xiū xi yí xiàr.,The teacher let us rest for a little while.
学 (xué),study,我 想 学 汉 语 。,Wǒ xiǎng xué Hànyǔ.,I want to study Chinese.
学生 (xué sheng),student,他 是 一 个 好 学 生 。,Tā shì yī ge hǎo xué sheng.,He is a good student.
学习 (xué xí),study,我 的 爱 好 是 学 习 。,Wǒ de àihào shì xué xí.,My hobby is studying.
学校 (xué xiào),school,我 们 去 学 校 上 课 。,Wǒmen qù xué xiào shàng kè.,We go to school to attend class.
颜色 (yán sè),color,你 喜 欢 什 么 颜 色 ？,Nǐ xǐhuan shénme yán sè?,What color do you like?
眼 睛 (yǎn jīng),eye,她 的 眼 睛 很 漂 亮 。,Tā de yǎn jīng hěn piàoliang.,Her eyes are very beautiful.
要 (yào),want; will,我 们 要 去 图 书 馆 。,Wǒmen yào qù túshū guǎn.,We want to go to the library.
也 (yě),also,我 也 想 去 北 京 。,Wǒ yě xiǎng qù Běijīng.,I also want to go to Beijing.
夜里 (yè lǐ),at night,你 夜 里 几 点 睡 觉 ？,Nǐ yè lǐ jǐ diǎn shuì jiào?,What time do you sleep at night?
一 (yī),one,我 们 有 一 个 孩 子 。,Wǒmen yǒu yī ge háizi.,We have one child.
衣服 (yī fu),clothing,这 件 衣 服 很 干 净 。,Zhè jiàn yī fu hěn gānjìng.,This piece of clothing is very clean.
医生 (yī shēng),doctor,我 的 妈 妈 是 医 生 。,Wǒ de māma shì yī shēng.,My mother is a doctor.
医院 (yī yuàn),hospital,我 们 去 医 院 看 病 人 。,Wǒmen qù yī yuàn kàn bìng rén.,We are going to the hospital to see a patient.
椅子 (yǐ zi),chair,这 个 椅 子 很 小 。,Zhè ge yǐ zi hěn xiǎo.,This chair is very small.
以前 (yǐ qián),before,以 前 我 不 认 识 你 。,Yǐ qián wǒ bù rènshi nǐ.,I didn't know you before.
已经 (yǐ jīng),already,他 已 经 回 家 了 。,Tā yǐ jīng huí jiā le.,He has already gone home.
一起 (yì qǐ),together,我 们 一 起 去 学 校 。,Wǒmen yì qǐ qù xuéxiào.,We go to school together.
一些 (yì xiē),some,我 的 包 里 有 一 些 书 。,Wǒ de bāo lǐ yǒu yì xiē shū.,I have some books in my bag.
用 (yòng),use,你 不 用 帮 我 忙 。,Nǐ bú yòng bāng máng.,You don't need to help me.
有 (yǒu),have,我 家 有 四 个 人 。,Wǒ jiā yǒu sì ge rén.,My family has four people.
有 的 (yǒu de),some,这 些 水 果 有 的 很 好 吃 。,Zhè xiē shuǐ guǒ yǒu de hěn hǎo chī.,Some of these fruits are very yummy.
有名 (yǒu míng),famous,他 是 一 个 有 名 的 医 生 。,Tā shì yī ge yǒu míng de yī shēng.,He is a famous doctor.
有 时 候 (yǒu shí hòu),sometimes,我 有 时 候 不 在 家 里 。,Wǒ yǒu shí hòu bú zài jiā lǐ.,Sometimes I'm not at home.
有 （ 一 ） 些 (yǒu （ yì ） xiē),some,我 对 这 件 事 有 一 些 问 题 。,Wǒ duì zhè jiàn shì yǒu yì xiē wèn tí.,I have some questions about this matter.
有用 (yǒu yòng),useful,这 本 书 很 有 用 。,Zhè běn shū hěn yǒu yòng.,This book is very useful.
右 (yòu),right,请 你 往 右 边 看 。,Qǐng nǐ wǎng yòu biān kàn.,Please look toward the right side.
右边 (yòu bian),right side,请 你 往 右 边 走 。,Qǐng nǐ wǎng yòu bian zǒu.,Please walk toward the right side.
雨 (yǔ),rain,今 天 没 有 雨 。,Jīntiān méi yǒu yǔ.,There is no rain today.
元 (yuán),yuan (currency),这 件 衣 服 十 元 。,Zhè jiàn yīfu shí yuán.,This piece of clothing is ten yuan.
远 (yuǎn),far,我 们 家 很 远 。,Wǒmen jiā hěn yuǎn.,Our home is very far.
月 (yuè),month,一 年 有 十 二 个 月 。,Yī nián yǒu shí èr ge yuè.,One year has twelve months.
再 (zài),again,请 你 再 说 一 次 。,Qǐng nǐ zài shuō yī cì.,Please say it one more time/again.
再见 (zài jiàn),bye,"我 们 跟 老 师 说 "" 再见 "" 。","Wǒmen gēn lǎo shī shuō ""zài jiàn"".","We say ""bye"" to the teacher."
在 (zài),stay; in process of,我 的 朋 友 在 学 校 里 。,Wǒ de péngyou zài xuéxiào lǐ.,My friend is in the school.
在家 (zài jiā),at home,爸 爸 妈 妈 都 在 家 吗 ？,Bàba māma dōu zài jiā ma?,Are Dad and Mom both at home?
早 (zǎo),early,你 今 天 起 床 很 早 。,Nǐ jīntiān qǐ chuáng hěn zǎo.,You got up very early today.
早饭 (zǎo fàn),breakfast,我 们 七 点 吃 早 饭 。,Wǒmen qī diǎn chī zǎo fàn.,We eat breakfast at seven o'clock.
早上 (zǎo shang),morning,今 天 早 上 天 气 很 好 。,Jīntiān zǎo shang tiān qì hěn hǎo.,The weather this morning is very good.
怎么 (zěn me),how,你 是 怎 么 来 的 ？,Nǐ shì zěn me lái de?,How did you come?
怎么样 (zěn me yàng),how,这 件 衣 服 怎 么 样 ？,Zhè jiàn yīfu zěn me yàng?,How is this piece of clothing?
站 (zhàn),stand; station,请 你 在 这 儿 站 着 。,Qǐng nǐ zài zhèr zhàn zhe.,Please stand here.
张 (zhāng),"(measure word for paper, tables)",我 的 桌 子 上 有 一 张 纸 。,Wǒ de zhuō zi shàng yǒu yī zhāng zhǐ.,There is one piece of paper on my table.
找 (zhǎo),look for,你 想 找 谁 ？,Nǐ xiǎng zhǎo shéi?,Who do you want to look for?
找到 (zhǎo dào),find,我 没 有 找 到 我 的 书 。,Wǒ méi yǒu zhǎo dào wǒ de shū.,I did not find my book.
这 (zhè),this,这 是 我 的 书 。,Zhè shì wǒ de shū.,This is my book.
这边 (zhè biān),here,你 往 这 边 走 吧 。,Nǐ wǎng zhè biān zǒu ba.,You walk this way (here).
这些 (zhè xiē),these,这些 都 是 好 东 西 。,Zhè xiē dōu shì hǎo dōngxi.,These are all good things.
这里 (zhè lǐ),here,你 坐 在 这 里 。,Nǐ zuò zài zhè lǐ.,You sit here.
这儿 (zhèr),here,我 们 在 这儿 见 面 吧 。,Wǒmen zài zhèr jiàn miàn ba.,Let's meet here.
这些 (zhè xiē),these,这 些 都 是 我 们 的 东 西 。,Zhè xiē dōu shì wǒmen de dōngxi.,These are all our things.
着 (zhe),in process of,老 师 穿 着 新 衣 服 。,Lǎo shī chuān zhe xīn yīfu.,The teacher is wearing new clothes.
真 (zhēn),really,今 天 真 冷 。,Jīntiān zhēn lěng.,Today is really cold.
真的 (zhēn de),really ,你 的 话 是 真 的 吗 ？,Nǐ de huà shì zhēn de ma?,Are your words real/true?
正（副） (zhèng),just; exactly ,他 正 吃 饭 呢 。,Tā zhèng chī fàn ne.,He is just (exactly) eating.
正在 (zhèng zài),in process of ,我 们 正 在 上 课 。,Wǒmen zhèng zài shàng kè.,We are currently attending class.
只 (zhǐ),only,我 只 有 一 个 姐 姐 。,Wǒ zhǐ yǒu yī ge jiějie.,I only have one older sister.
纸 (zhǐ),paper,这 张 纸 很 有 用 。,Zhè zhāng zhǐ hěn yǒu yòng.,This piece of paper is very useful.
知道 (zhī dào),know ,你 知 道 她 的 名 字 吗 ？,Nǐ zhī dào tā de míngzi ma?,Do you know her name?
知识 (zhī shi),knowledge ,知 识 很 重 要 。,Zhī shi hěn zhòng yào.,Knowledge is very important.
中 (zhōng),middle; in ,我 们 在 中 间 。,Wǒmen zài zhōng jiān.,We are in the middle.
中国 (zhōng guó),China ,我 爱 中 国 。,Wǒ ài Zhōng guó.,I love China.
中间 (zhōng jiān),middle ,请 你 坐 在 中 间 。,Qǐng nǐ zuò zài zhōng jiān.,Please sit in the middle.
中文 (zhōng wén),Chinese ,我 想 学 中 文 。,Wǒ xiǎng xué Zhōng wén.,I want to learn Chinese.
中午 (zhōng wǔ),noon ,我 们 中 午 吃 饭 。,Wǒmen zhōng wǔ chī fàn.,We have a meal at noon.
中学 (zhōng xué),middle school,我 们 去 中 学 看 老 师 。,Wǒmen qù zhōng xué kàn lǎo shī.,We go to the middle school to see the teacher.
中学生 (zhōng xué shēng),middle school student,我 是 一 个 中 学 生 。,Wǒ shì yī ge zhōng xué shēng.,I am a middle school student.
重 (zhòng),heavy,这 个 包 很 重 。,Zhè ge bāo hěn zhòng.,This bag is very heavy.
重要 (zhòng yào),important,这 个 问 题 很 重 要 。,Zhè ge wèn tí hěn zhòng yào.,This question is very important.
住 (zhù),live,你 住 在 哪 个 房 子 ？,Nǐ zhù zài nǎ ge fáng zi?,Which house do you live in?
准备 (zhǔn bèi),get ready,妈 妈 准 备 吃 饭 了 。,Māma zhǔn bèi chī fàn le.,Mom is getting ready to eat.
桌子 (zhuō zi),table,请 你 坐 在 桌 子 旁 边 。,Qǐng nǐ zuò zài zhuō zi páng biān.,Please sit next to the table.
字 (zì),"word, character",你 认 识 这 个 字 吗 ？,Nǐ rènshi zhè ge zì ma?,Do you recognize this character?
子（桌子） (zi （ zhuō zi ）),noun suffix (table),桌 子 上 没 有 水 。,Zhuō zi shàng méi yǒu shuǐ.,There is no water on the table.
走 (zǒu),"go, walk",我 们 一 起 走 吧 。,Wǒmen yì qǐ zǒu ba.,Let's walk together.
走路 (zǒu lù),walk,我 们 喜 欢 一 起 走 路 。,Wǒmen xǐhuan yì qǐ zǒu lù.,We like walking together.
最 (zuì),most,他 是 我 最 好 的 朋 友 。,Tā shì wǒ zuì hǎo de péngyou.,He is my best friend.
最好 (zuì hǎo),best,这 件 衣 服 是 最 好 的 。,Zhè jiàn yīfu shì zuì hǎo de.,This piece of clothing is the best.
最后 (zuì hòu),last,我 们 最 后 一 起 吃 饭 。,Wǒmen zuì hòu yì qǐ chī fàn.,We ate last/finally ate together.
昨天 (zuó tiān),yesterday,你 昨 天 去 哪 里 了 ？,Nǐ zuó tiān qù nǎ lǐ le?,Where did you go yesterday?
左 (zuǒ),left,请 你 向 左 看 。,Qǐng nǐ xiàng zuǒ kàn.,Please look to the left.
左边 (zuǒ bian),left,学 校 在 医 院 左 边 。,Xuéxiào zài yī yuàn zuǒ bian.,The school is on the left side of the hospital.
坐 (zuò),sit,你 坐 在 哪 里 ？,Nǐ zuò zài nǎ lǐ?,Where are you sitting?
坐下 (zuò xià),sit down,请 你 坐 下 。,Qǐng nǐ zuò xià.,Please sit down.
做 (zuò),do,你 想 做 什 么 工 作 ？,Nǐ xiǎng zuò shén me gōngzuò?,What kind of work do you want to do?
开车 (kāi chē),drive,我会开车 。,Wǒ huì kāi chē.,I can drive a car.
开会 (kāi huì),have a meeting,老师在开会 。,Lǎoshī zài kāi huì.,The teacher is having a meeting.
